arch,name,features,unsafe,stability,file,doc,signature,instruction
x86_64,_mm256_max_pd,avx,False,stable,avx.rs,"Compares packed double-precision (64-bit) floating-point elements in `a` and `b`, and returns packed maximum values  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_max_pd)","fn _mm256_max_pd(a: __m256d, b: __m256d) -> __m256d",vmaxpd
x86_64,_mm256_max_ps,avx,False,stable,avx.rs,"Compares packed single-precision (32-bit) floating-point elements in `a` and `b`, and returns packed maximum values  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_max_ps)","fn _mm256_max_ps(a: __m256, b: __m256) -> __m256",vmaxps
x86_64,_mm256_min_pd,avx,False,stable,avx.rs,"Compares packed double-precision (64-bit) floating-point elements in `a` and `b`, and returns packed minimum values  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_min_pd)","fn _mm256_min_pd(a: __m256d, b: __m256d) -> __m256d",vminpd
x86_64,_mm256_min_ps,avx,False,stable,avx.rs,"Compares packed single-precision (32-bit) floating-point elements in `a` and `b`, and returns packed minimum values  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_min_ps)","fn _mm256_min_ps(a: __m256, b: __m256) -> __m256",vminps
x86_64,_mm256_mul_pd,avx,False,stable,avx.rs,Multiplies packed double-precision (64-bit) floating-point elements in `a` and `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_mul_pd),"fn _mm256_mul_pd(a: __m256d, b: __m256d) -> __m256d",vmulpd
x86_64,_mm256_mul_ps,avx,False,stable,avx.rs,Multiplies packed single-precision (32-bit) floating-point elements in `a` and `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_mul_ps),"fn _mm256_mul_ps(a: __m256, b: __m256) -> __m256",vmulps
x86_64,_mm256_addsub_pd,avx,False,stable,avx.rs,Alternatively adds and subtracts packed double-precision (64-bit) floating-point elements in `a` to/from packed elements in `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_addsub_pd),"fn _mm256_addsub_pd(a: __m256d, b: __m256d) -> __m256d",vaddsubpd
x86_64,_mm256_addsub_ps,avx,False,stable,avx.rs,Alternatively adds and subtracts packed single-precision (32-bit) floating-point elements in `a` to/from packed elements in `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_addsub_ps),"fn _mm256_addsub_ps(a: __m256, b: __m256) -> __m256",vaddsubps
x86_64,_mm256_sub_pd,avx,False,stable,avx.rs,Subtracts packed double-precision (64-bit) floating-point elements in `b` from packed elements in `a`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_sub_pd),"fn _mm256_sub_pd(a: __m256d, b: __m256d) -> __m256d",vsubpd
x86_64,_mm256_sub_ps,avx,False,stable,avx.rs,Subtracts packed single-precision (32-bit) floating-point elements in `b` from packed elements in `a`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_sub_ps),"fn _mm256_sub_ps(a: __m256, b: __m256) -> __m256",vsubps
